title;description;image;price;size;gender
Nike Air Jordan 1 Retro High;Легендарные баскетбольные кроссовки с высокой посадкой и уникальным дизайном.;main_catalog.png;8999;42;male
Adidas Ultraboost 22;Удобные беговые кроссовки с технологией Boost для максимальной амортизации.;main_catalog.png;12999;39;unisex
New Balance 574 Classic;Классические повседневные кроссовки с удобной подошвой и стильным дизайном.;main_catalog.png;7999;40;unisex
Puma RS-X Reinvention;Ретро-футуристичные кроссовки с массивной подошвой и яркими акцентами.;main_catalog.png;6999;38;male
Reebok Classic Leather Legacy;Элегантные кожаные кроссовки в винтажном стиле 80-х.;main_catalog.png;5999;37;female
Nike Air Force 1 '07;Культовые кроссовки с гладкой кожей и фирменной подошвой.;main_catalog.png;8999;41;unisex
Adidas Superstar;Легендарные кроссовки с резиновым мыском и узнаваемым силуэтом.;main_catalog.png;7999;36;unisex
Asics Gel-Kayano 28;Профессиональные беговые кроссовки с гелевой амортизацией.;main_catalog.png;11999;43;male
Vans Old Skool;Классические скейтерские кроссовки с боковой полоской.;main_catalog.png;4999;38;unisex
Converse Chuck Taylor All Star;Самые известные кроссовки в истории с текстильным верхом.;main_catalog.png;4599;37;unisex
Nike Blazer Mid '77 Vintage;Ретро-модель с кожаным верхом и удобной посадкой.;main_catalog.png;8499;40;female
Adidas NMD_R1;Стильные городские кроссовки с технологичной подошвой.;main_catalog.png;10999;42;male
Puma Cali Dream;Женские кроссовки в калифорнийском стиле с мягкой подошвой.;main_catalog.png;6499;39;female
New Balance 327;Современный силуэт с ретро-дизайном и удобной колодкой.;main_catalog.png;8999;41;unisex
Reebok Club C Revenge;Классика 90-х с обновленной подошвой и кожаным верхом.;main_catalog.png;5499;38;male
